,REGIONAL,DEPARTAMENTO,TECNOL,GERENCIA,CANAL_HOMOLOGADO_MILLICON,tipo_fuerza_venta,estrato,antiguedad_meses,productos,portafolio,no_serv_tecnicos,fallo,asesoria_factura,pedidos_peticiones,reagendamiento,asesoria_servicios,retencion,Otras,quejas_fraude,traslado,Incumplimiento_pago,cliente_id
2244,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,202.0,TV+BA,Duo,,,0,0,0,0,0,0,0,0,0,1020478313
2241,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,IN BOUND,INDIRECTA,2,33.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1020477515
2242,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,33.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1020477515
2239,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,1,3.0,TO+BA,Duo,1.0,No navega,1,1,0,0,1,0,0,0,0,1020477475
2236,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,1,39.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,1,0,1020475839
2237,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,1,39.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,1,0,1020475839
2235,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,2,14.0,TV,Individual,,,0,0,0,0,0,0,0,0,1,1020475709
2234,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,1,7.0,BA,Individual,,,0,1,0,0,0,0,0,0,0,1020474945
2231,NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,3,3.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,1,1020474118
2230,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,3,22.0,TO,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,1020473974
2229,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,11.0,BA,Individual,1.0,No navega,0,0,0,0,0,0,0,1,0,1020473771
2228,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,4.0,TV,Individual,,,0,0,0,0,0,0,0,0,0,1020473144
2226,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,186.0,TO+BA,Duo,1.0,Sin señal,1,0,0,0,0,0,0,1,0,1020472551
2224,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,13.0,TO+TV,Duo,1.0,Navegacion Lenta,0,0,0,0,0,0,0,0,0,1020472509
2223,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,3,45.0,TV,Individual,,,0,0,0,0,0,0,0,0,0,1020470526
2222,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,1,41.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1020469204
2219,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,1,27.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1020468260
2218,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,2,7.0,TO,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,1020467509
2215,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,1.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,1,1,1020467171
2664,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,168.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1020466340
2661,NOROCCIDENTE,ANTIOQUIA,HFC,OTROS,OTROS,INDIRECTA,3,14.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1020466303
2660,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,1,2.0,TO,Individual,,,0,1,0,0,0,0,0,0,0,1020464856
2657,NOROCCIDENTE,ANTIOQUIA,HFC,AUR&CONSTRUCTORES,URBANIZACIONES,INDIRECTA,3,19.0,TO+TV+BA,Trio,1.0,Servicio intermitente,0,1,0,0,1,0,0,0,0,1020464665
2656,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,45.0,BA,Individual,,,0,1,0,0,0,0,0,0,0,1020463813
2654,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,14.0,TV+BA,Duo,1.0,No navega,0,0,0,0,0,0,0,0,1,1020463622
2653,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,51.0,TO,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,1020463577
2650,NOROCCIDENTE,ANTIOQUIA,HFC,FVD,FVD,INDIRECTA,2,21.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1020462753
2647,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,1,65.0,TO+TV+BA,Trio,1.0,No navega,0,1,1,1,0,0,0,0,0,1020461659
2648,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,1,65.0,TO+TV+BA,Trio,1.0,No navega,0,1,1,1,0,0,0,0,0,1020461659
2646,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,6.0,TV,Individual,,,0,0,0,0,0,0,0,0,0,1020460690
2645,NOROCCIDENTE,ANTIOQUIA,REDCO,TIENDAS,TIENDAS,INDIRECTA,4,128.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1020460216
2644,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,25.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1020459897
2642,NOROCCIDENTE,ANTIOQUIA,HFC,AUR&CONSTRUCTORES,URBANIZACIONES,INDIRECTA,3,17.0,TV+BA,Duo,1.0,No navega,0,0,0,0,0,0,0,0,0,1020459136
2640,NOROCCIDENTE,ANTIOQUIA,REDCO,TIENDAS,TIENDAS,INDIRECTA,2,26.0,TO+BA,Duo,1.0,Navegacion Lenta,0,0,0,0,0,0,0,0,0,1020458748
2637,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,56.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1020457676
2636,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,1,4.0,BA,Individual,,,0,1,0,0,0,0,0,0,0,1020457623
2635,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,1,175.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1020457585
2633,NOROCCIDENTE,ANTIOQUIA,HFC,FVD,FVD,INDIRECTA,1,6.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,0,1020457208
2632,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,4,16.0,TV,Individual,1.0,No navega,0,0,1,0,0,0,1,1,0,1020456477
2629,NOROCCIDENTE,ANTIOQUIA,HFC,FVD,DEALERS,DIRECTA,2,202.0,TO+TV+BA,Trio,1.0,No funciona línea telefónica,0,0,0,0,0,0,0,0,0,1020455653
2627,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,168.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,0,1020454746
2626,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,1,46.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1020454471
2623,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,2,5.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,1,0,1,1020454064
2620,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,3,13.0,TO+TV+BA,Trio,1.0,No navega,0,0,0,0,0,0,0,0,0,1020452366
2618,NOROCCIDENTE,ANTIOQUIA,HFC,FVD,FVD,INDIRECTA,1,180.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,0,1020452189
2616,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,4,31.0,TV+BA,Duo,1.0,No funciona línea telefónica,1,0,0,0,0,0,0,1,0,1020449305
2614,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,62.0,TV+BA,Duo,,,0,0,0,0,0,0,0,0,0,1020448190
2613,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,3,36.0,BA,Individual,,,0,1,0,1,0,0,0,0,0,1020447438
2612,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,55.0,TV,Individual,,,0,0,0,0,0,0,0,0,0,1020446703
2611,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,35.0,BA,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,1020445713
2610,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,3,203.0,TV,Individual,,,1,0,0,0,0,0,0,0,0,1020445481
2607,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,1,18.0,TO+TV+BA,Trio,1.0,No navega,0,0,0,1,0,0,0,0,0,1020443927
2606,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,71.0,BA,Individual,,,0,0,1,0,0,0,0,0,0,1020442107
2605,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,61.0,BA,Individual,,,1,0,0,1,0,0,0,0,0,1020439296
153,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,1,202.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1020438763
152,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,171.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1020438530
151,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,4,12.0,TO,Individual,,,0,0,0,0,0,0,0,0,0,1020437362
150,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,127.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1020433293
149,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,33.0,TO,Individual,,,1,0,0,0,0,0,0,0,0,1020431743
148,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,202.0,TV,Individual,1.0,Navegacion Lenta,0,0,0,0,0,0,0,1,0,1020429863
147,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,3,18.0,TV,Individual,1.0,Navegacion Lenta,0,0,0,0,0,0,0,0,0,1020427649
146,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,46.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1020425203
144,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,17.0,TV+BA,Duo,1.0,Sin señal,0,0,0,0,0,0,0,0,0,1020423974
143,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,4,152.0,TV,Individual,,,0,0,0,0,0,0,0,0,0,1020423882
141,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,18.0,TV+BA,Duo,,,0,0,0,0,0,0,0,0,0,1020423810
140,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,24.0,BA,Individual,,,1,0,0,1,0,0,0,0,0,1020423145
138,NOROCCIDENTE,ANTIOQUIA,HFC,FVD,FVD,INDIRECTA,3,10.0,TO+TV,Duo,,,0,0,0,0,0,0,0,0,0,1020422223
136,NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,3,171.0,TV+BA,Duo,1.0,No funciona línea telefónica,0,0,1,0,1,0,0,1,0,1020421967
134,NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,3,6.0,TV+BA,Duo,1.0,No navega,0,0,0,0,0,0,0,0,0,1020420228
133,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,0.0,TO,Individual,1.0,No funciona línea telefónica,0,0,0,0,0,0,0,0,0,1020419809
131,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,3,66.0,TV+BA,Duo,1.0,Servicio intermitente,0,1,1,1,1,1,0,1,0,1020419036
130,NOROCCIDENTE,ANTIOQUIA,HFC,FVD,DEALERS,DIRECTA,2,3.0,TO,Individual,,,0,0,0,0,0,0,0,0,0,1020417381
129,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,13.0,BA,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,1020416618
126,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,1,8.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,1,0,1020416469
124,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,14.0,TV+BA,Duo,1.0,Mala calidad en la imagen,0,0,0,0,0,0,0,1,0,1020415248
123,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,3,184.0,TV,Individual,1.0,Problemas Control Remoto,0,0,0,0,0,0,0,1,0,1020413947
122,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,31.0,TO,Individual,,,0,0,0,0,0,0,0,1,0,1020413282
121,NOROCCIDENTE,ANTIOQUIA,REDCO,FVD,FVD,INDIRECTA,SE,0.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1020412829
120,NOROCCIDENTE,ANTIOQUIA,HFC,FVD,FVD,INDIRECTA,2,33.0,TV,Individual,,,0,0,0,0,0,0,0,0,0,1020412820
119,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,2,14.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1020412462
118,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,1,202.0,TV,Individual,,,0,0,0,0,0,0,0,0,0,1020410828
116,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,DIGITALES,INDIRECTA,3,194.0,TV+BA,Duo,,,0,0,0,0,0,0,0,0,0,1020409590
115,NOROCCIDENTE,ANTIOQUIA,HFC,AUR&CONSTRUCTORES,URBANIZACIONES,INDIRECTA,4,0.0,TO,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,1020408715
114,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,3,19.0,BA,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,1020406612
113,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,OUT BOUND,INDIRECTA,1,137.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1020406242
112,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,4,0.0,TV,Individual,,,0,0,0,0,0,0,0,0,0,1020405726
110,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,4,60.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,0,1020405267
109,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,202.0,TV,Individual,,,0,0,0,0,0,0,0,0,0,1020403661
108,NOROCCIDENTE,ANTIOQUIA,HFC,FVD,DEALERS,DIRECTA,2,43.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1020402914
492,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,4,19.0,TV,Individual,1.0,Problemas wifi,0,0,0,0,0,0,0,0,0,1020402459
491,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,5.0,TO,Individual,,,0,0,0,0,0,0,0,0,0,1020400847
490,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,4.0,TO+TV+BA,Trio,1.0,Servicio intermitente,0,0,0,0,0,0,1,0,0,1020400376
488,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,4.0,TO+TV+BA,Trio,1.0,Servicio intermitente,0,0,0,0,0,0,1,0,1,1020400376
485,NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,2,11.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,1,1020399763
484,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,99.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1020399536
483,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,2,21.0,TV,Individual,,,0,0,0,0,0,0,0,0,0,1020398762
480,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,6.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1020398702
479,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,IN BOUND,INDIRECTA,2,151.0,BA,Individual,,,0,1,1,0,0,0,0,0,0,1020398410
478,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,IN BOUND,INDIRECTA,1,129.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1020397728
475,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,0.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1020396406
474,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,5.0,TV,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,1020396101
473,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,19.0,TV,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,1020394693
471,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,2,11.0,TO+BA,Duo,,,0,0,0,0,0,0,0,1,0,1020105869
464,CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,0.0,TO+TV+BA,Trio,1.0,No navega,0,1,0,0,0,0,0,1,0,1019131757
461,CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,47.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1019129607
458,CENTRO,CUNDINAMARCA,HFC,AUR&CONSTRUCTORES,URBANIZACIONES,INDIRECTA,2,,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,1,1019121512
455,CENTRO,CUNDINAMARCA,HFC,RETAIL,RETAIL,INDIRECTA,3,4.0,TO+TV+BA,Trio,1.0,Sin señal,0,0,0,0,0,0,0,0,0,1019120738
820,CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,9.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,0,1019113890
817,CENTRO,CUNDINAMARCA,HFC,FVD,DEALERS,DIRECTA,2,0.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,1,1019110153
816,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,IN BOUND,INDIRECTA,2,175.0,BA,Individual,,,0,0,1,0,0,0,0,0,0,1019106216
814,CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,2.0,TV+BA,Duo,,,0,0,0,0,0,0,1,0,0,1019104690
811,CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,0.0,TO+TV+BA,Trio,1.0,Sin señal,0,0,0,0,0,0,0,0,0,1019103731
808,CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,7.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,1,1019098189
806,CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,6.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,0,1019092815
805,CENTRO,CUNDINAMARCA,HFC,CONTACT,DIGITALES,INDIRECTA,3,34.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1019088610
803,CENTRO,CUNDINAMARCA,HFC,AUR&CONSTRUCTORES,URBANIZACIONES,INDIRECTA,2,3.0,TV+BA,Duo,,,0,0,0,0,0,0,0,0,0,1019078042
800,CENTRO,CUNDINAMARCA,HFC,RETAIL,RETAIL,INDIRECTA,3,9.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1019073282
797,CENTRO,CUNDINAMARCA,HFC,AUR&CONSTRUCTORES,URBANIZACIONES,INDIRECTA,2,13.0,TO+TV+BA,Trio,1.0,Sin señal,0,0,0,0,0,0,0,0,0,1019071080
795,CENTRO,CUNDINAMARCA,HFC,CONTACT,IN BOUND,INDIRECTA,2,0.0,TO+TV+BA,Trio,1.0,No navega,0,0,0,0,0,0,0,1,1,1019067925
794,CENTRO,CUNDINAMARCA,HFC,CONTACT,IN BOUND,INDIRECTA,2,0.0,TO+TV+BA,Trio,1.0,No navega,0,0,0,0,0,0,0,1,0,1019067925
791,COSTA,BOLIVAR,HFC,CONTACT,IN BOUND,INDIRECTA,3,58.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,1,1019066920
790,CENTRO,CUNDINAMARCA,HFC,CONTACT,SAC,INDIRECTA,2,4.0,TV,Individual,1.0,Servicio intermitente,0,0,0,0,0,0,0,0,1,1019060517
789,CENTRO,CUNDINAMARCA,HFC,CONTACT,SAC,INDIRECTA,2,12.0,TV,Individual,,,0,0,0,0,0,0,0,0,0,1019053467
788,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,4,18.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1019052530
787,CENTRO,CUNDINAMARCA,HFC,CONTACT,IN BOUND,INDIRECTA,2,2.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1019050946
786,CENTRO,CUNDINAMARCA,HFC,TIENDAS,TIENDAS,INDIRECTA,3,6.0,TV,Individual,,,0,1,0,0,1,0,0,1,0,1019050574
783,CENTRO,CUNDINAMARCA,HFC,CONTACT,IN BOUND,INDIRECTA,2,29.0,TO+TV+BA,Trio,1.0,Servicio intermitente,0,0,0,0,0,0,0,0,0,1019046223
782,CENTRO,CUNDINAMARCA,HFC,CONTACT,SAC,INDIRECTA,2,10.0,TO,Individual,1.0,No funciona línea telefónica,0,0,0,0,0,0,0,0,0,1019045852
781,CENTRO,CUNDINAMARCA,GPON,CONTACT,SAC,INDIRECTA,3,28.0,TO,Individual,,,0,0,0,0,0,0,0,0,0,1019035816
780,CENTRO,CUNDINAMARCA,HFC,CONTACT,SAC,INDIRECTA,3,52.0,TO,Individual,1.0,Navegacion Lenta,0,0,0,0,0,0,0,0,0,1019027887
1121,CENTRO,CUNDINAMARCA,HFC,CONTACT,DIGITALES,INDIRECTA,4,7.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1019006568
1120,CENTRO,CUNDINAMARCA,HFC,CONTACT,SAC,INDIRECTA,3,51.0,TV,Individual,1.0,No navega,1,1,0,1,0,0,0,0,0,1019003859
1114,CENTRO,CUNDINAMARCA,HFC,CONTACT,IN BOUND,INDIRECTA,2,0.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,0,1018507371
1112,CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,3,47.0,TO+BA,Duo,,,1,0,0,0,0,0,0,0,0,1018488252
1110,CENTRO,CUNDINAMARCA,HFC,CONTACT,IN BOUND,INDIRECTA,2,28.0,TO+BA,Duo,1.0,No navega,0,0,0,0,0,0,0,0,0,1018487955
1107,CENTRO,CUNDINAMARCA,HFC,CONTACT,SAC,INDIRECTA,4,2.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,1,1018487679
1104,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,21.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,1,1018478097
1103,CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,3,43.0,BA,Individual,1.0,Solicitud configuracion tecni,0,0,0,0,0,0,0,0,0,1018474279
1100,CENTRO,CUNDINAMARCA,HFC,CONTACT,SAC,INDIRECTA,3,31.0,TO+TV+BA,Trio,1.0,Servicio intermitente,0,0,0,0,0,0,0,0,0,1018472472
1099,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,114.0,TO,Individual,1.0,No funciona línea telefónica,0,0,0,0,0,0,0,1,0,1018461542
1096,CENTRO,CUNDINAMARCA,HFC,CONTACT,IN BOUND,INDIRECTA,2,3.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,1,1018453924
1092,CENTRO,CUNDINAMARCA,REDCO,CONTACT,SAC,INDIRECTA,3,21.0,TO+BA,Duo,,,0,0,0,0,0,0,0,1,0,1018432526
1091,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,4,15.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1018426108
1503,NOROCCIDENTE,ANTIOQUIA,REDCO,FVD,FVD,INDIRECTA,SE,0.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1018416664
1501,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,6,14.0,TO+TV,Duo,,,0,0,0,0,0,0,0,0,0,1018413479
1498,CENTRO,CUNDINAMARCA,HFC,AUR&CONSTRUCTORES,URBANIZACIONES,INDIRECTA,2,4.0,TO+TV+BA,Trio,1.0,Servicio intermitente,0,0,0,0,0,0,0,0,1,1018413454
1495,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,3,8.0,TO+TV+BA,Trio,1.0,No navega,0,0,0,0,0,0,0,1,0,1018408081
1493,NOROCCIDENTE,ANTIOQUIA,REDCO,FVD,DEALERS,DIRECTA,1,18.0,TV+BA,Duo,,,0,0,0,0,0,0,0,0,0,1018376770
1490,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,4,3.0,TO+TV+BA,Trio,1.0,No navega,0,0,0,0,0,0,0,0,0,1018373559
1487,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,2,1.0,TO+TV+BA,Trio,1.0,No navega,0,0,0,0,0,0,0,0,1,1018346764
1484,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,7.0,TO+TV+BA,Trio,1.0,Sin señal,0,0,0,0,0,0,0,0,0,1018227616
1480,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,12.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1017273077
1479,NOROCCIDENTE,ANTIOQUIA,HFC,FVD,DEALERS,DIRECTA,3,5.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1017272397
