,REGIONAL,DEPARTAMENTO,TECNOL,GERENCIA,CANAL_HOMOLOGADO_MILLICON,tipo_fuerza_venta,estrato,antiguedad_meses,productos,portafolio,no_serv_tecnicos,fallo,asesoria_factura,pedidos_peticiones,reagendamiento,asesoria_servicios,retencion,Otras,quejas_fraude,traslado,Incumplimiento_pago,cliente_id
14689,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,4,80.0,BA,Individual,,,0,1,0,0,0,0,0,0,0,43033237
14686,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,4,27.0,TO+TV+BA,Trio,1.0,Servicio intermitente,1,0,0,1,0,0,0,0,0,43032472
14685,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,5,24.0,TV,Individual,,,0,0,0,0,1,0,0,1,0,43032406
14684,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,1,20.0,TV,Individual,1.0,Navegacion Lenta,1,0,0,0,0,0,0,0,1,43032311
14683,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,84.0,BA,Individual,1.0,Servicio intermitente,0,0,0,0,0,0,0,0,0,43032306
14682,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,4,41.0,BA,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,43032015
14680,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,2,81.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,0,43031288
14679,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,3,170.0,BA,Individual,,,1,1,0,0,0,0,0,0,0,43031005
14678,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,17.0,BA,Individual,,,0,0,0,0,1,1,0,0,0,43029831
14677,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,3,203.0,TV,Individual,1.0,Servicio intermitente,1,0,0,0,0,0,0,0,0,43029730
14676,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,4,190.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,43029344
14675,NOROCCIDENTE,ANTIOQUIA,REDCO,TIENDAS,TIENDAS,INDIRECTA,2,122.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,43028901
14673,SUR,VALLE DEL CAUCA,HFC,CONTACT,OUT BOUND,INDIRECTA,3,0.0,TV+BA,Duo,,,0,0,0,0,0,0,0,0,0,43028308
14672,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,1,83.0,BA,Individual,1.0,No funciona línea telefónica,1,0,0,0,0,0,0,0,0,43028243
14670,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,3,191.0,TO+BA,Duo,,,0,1,0,0,0,0,0,0,0,43028155
14669,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,4,26.0,TV,Individual,1.0,Problemas Control Remoto,0,0,0,0,0,0,0,0,0,43027698
14668,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,5,71.0,BA,Individual,1.0,Sin señal,0,0,0,0,0,0,0,0,0,43027589
14665,NOROCCIDENTE,ANTIOQUIA,HFC,FVD,DEALERS,DIRECTA,2,3.0,TO+TV+BA,Trio,,,0,1,0,0,0,0,1,0,0,43027133
14662,NOROCCIDENTE,ANTIOQUIA,HFC,FVD,DEALERS,DIRECTA,5,137.0,TO+TV+BA,Trio,1.0,Servicio intermitente,0,0,0,0,0,0,1,0,0,43027129
14661,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,3,24.0,TV,Individual,1.0,Sin señal,0,0,0,0,0,0,0,0,0,43027065
14660,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,5,125.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,43026739
14659,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,19.0,TV,Individual,1.0,Sin señal,0,0,0,0,0,0,0,0,0,43026676
14658,NOROCCIDENTE,ANTIOQUIA,REDCO,RETAIL,RETAIL,INDIRECTA,3,181.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,43026367
14656,NOROCCIDENTE,ANTIOQUIA,HFC,FVD,DEALERS,DIRECTA,2,39.0,TV,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,43025434
14655,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,DIGITALES,INDIRECTA,2,60.0,TV+BA,Duo,1.0,Sin señal,0,0,0,0,0,0,0,0,0,43024490
14654,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,DIGITALES,INDIRECTA,2,60.0,TV+BA,Duo,1.0,Sin señal,0,0,0,0,0,0,0,0,0,43024490
14653,NOROCCIDENTE,ANTIOQUIA,DTH,TIENDAS,TIENDAS,INDIRECTA,2,25.0,TV,Individual,,,0,0,0,0,0,0,0,0,0,43024382
14652,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,IN BOUND,INDIRECTA,3,107.0,TV+BA,Duo,,,0,0,0,0,0,0,0,0,0,43023832
14651,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,107.0,TV+BA,Duo,,,0,0,0,0,0,0,0,0,0,43023832
14650,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,SE,0.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,43023660
14649,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,1,42.0,TV,Individual,1.0,Sin señal,0,0,0,0,0,0,0,0,0,43023448
14648,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,2,33.0,TV,Individual,1.0,Sin señal,0,0,0,1,0,0,0,0,0,43022520
14646,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,4,20.0,TV+BA,Duo,,,0,0,0,0,0,0,0,0,0,43021282
14644,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,3,152.0,TV+BA,Duo,1.0,No navega,0,0,0,0,0,0,0,0,0,43020440
14643,NOROCCIDENTE,ANTIOQUIA,HFC,AUR&CONSTRUCTORES,CONSTRUCTORES,INDIRECTA,2,186.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,43020013
14642,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,142.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,43019736
14641,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,4,14.0,BA,Individual,,,0,0,0,0,0,0,0,0,1,43019273
14640,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,2,33.0,BA,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,43019103
14639,NOROCCIDENTE,ANTIOQUIA,REDCO,FVD,FVD,INDIRECTA,2,186.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,43018686
